Designator,Mid X,Mid Y,Rotation,Layer
C1,123.475,-68.455,0.0,top
C10,123.9875,-78.205,180.0,top
C11,111.3,-79.0,270.0,top
C12,188.0,-77.2,90.0,top
C2,137.425,-74.855,270.0,top
C3,144.0,-84.0,90.0,top
C4,145.5625,-91.8,0.0,top
C5,151.72,-77.2,180.0,top
C6,123.9875,-76.205,180.0,top
C7,178.8375,-104.0,0.0,top
C8,151.725,-73.2,180.0,top
C9,151.72,-75.2,180.0,top
D1,129.425,-71.805,270.0,top
D2,146.9625,-82.0,270.0,top
D3,175.2,-91.0,90.0,top
D4,179.14,-88.0,0.0,top
D5,179.14,-93.8,0.0,top
D6,179.14,-92.0,0.0,top
D7,147.9875,-75.2,0.0,top
J1,186.325,-92.48,90.0,top
J10,116.95,-106.4,0.0,top
J11,167.87,-81.15,90.0,top
J2,169.65,-106.05,0.0,top
J3,110.6,-95.905,90.0,top
J4,110.6,-86.005,90.0,top
J5,139.75,-54.96,0.0,top
J6,132.55,-55.0,0.0,top
J7,115.1,-53.475,180.0,top
J8,135.95,-106.4,0.0,top
J9,154.95,-106.4,0.0,top
L1,150.2,-62.175,90.0,top
L2,124.875,-86.005,180.0,top
R1,118.425,-75.005,90.0,top
R10,113.3,-79.0,90.0,top
R11,129.4,-100.0,270.0,top
R12,131.4,-100.0,270.0,top
R13,133.4,-100.0,270.0,top
R14,135.4,-100.0,270.0,top
R15,137.4,-100.0,270.0,top
R16,139.4,-100.0,270.0,top
R17,141.4,-100.0,270.0,top
R18,143.4,-100.0,270.0,top
R19,178.875,-102.0,0.0,top
R2,118.3875,-71.305,90.0,top
R3,153.5625,-88.0,90.0,top
R4,151.5625,-88.0,270.0,top
R5,178.8,-95.8,180.0,top
R6,178.8,-90.0,180.0,top
R7,186.0,-77.2,90.0,top
R8,147.9625,-73.2,0.0,top
R9,115.3,-79.0,270.0,top
SW1,184.8,-83.0,0.0,top
SW2,185.0,-103.0,90.0,top
U1,123.5,-72.305,0.0,top
U2,168.26,-61.61,0.0,top
U3,151.7275,-82.1,90.0,top
